ordinal_distance,CE (%),DPCE (%),relative_change (%)
0 (Correct),92.7962962962963,92.57407407407408,-0.2394731590500966
1-2 (Close),6.925925925925926,7.018518518518518,1.3368983957219247
3-4 (Moderate),0.2777777777777778,0.4074074074074074,46.66666666666665
5-6 (Far),0.0,0.0,
